userid,date.crea,score,n.matches,n.updates.photo,n.photos,last.connex,last.up.photo,last.pr.update,gender,sent.ana,length.prof,voyage,laugh,photo.elevator,photo.beach,Country
728,12/6/2015,3.066774472,27,3,3,1/30/2016,1/1/2016,NA,0,2.643543721,1.154286406,0,0,0,0,England
729,12/25/2016,2.615017035,14,2,2,1/23/2017,1/25/2017,NA,1,6.646633662,13.34381272,0,0,0,1,France
730,3/17/2019,2.149243554,18,0,3,5/14/2019,4/10/2019,NA,0,7.987245344,0,0,0,0,0,Germany
731,9/23/2013,2.624167374,23,2,4,10/25/2013,10/15/2013,NA,1,7.635960265,0,0,0,0,0,England
732,9/26/2017,1.686348908,28,4,3,10/30/2017,10/9/2017,NA,0,9.772700235,37.01827877,1,1,1,0,France
733,11/21/2017,4.292707779,39,3,3,12/6/2017,11/29/2017,NA,1,7.256990285,17.68451703,0,0,0,0,Germany
734,7/13/2014,1.956791378,19,2,5,8/21/2014,8/25/2014,NA,1,5.101906875,19.44546497,1,0,0,0,England
735,6/10/2009,1.174186471,10,1,2,8/7/2009,6/29/2009,NA,0,7.077463191,24.11458381,1,0,0,0,France
736,5/10/2017,0.912441022,6,-1,4,6/27/2017,5/31/2017,NA,0,2.503108506,27.69126429,0,0,0,0,Germany
737,1/21/2019,4.430535023,41,1,2,3/8/2019,2/15/2019,NA,0,5.049559871,43.82667828,0,0,0,0,England
738,3/26/2012,3.442291796,31,4,3,5/1/2012,5/1/2012,NA,1,4.210228619,28.36471147,0,0,0,0,France
739,7/27/2016,5.966617113,36,3,3,8/10/2016,8/13/2016,NA,1,6.489420732,34.07120562,0,0,0,1,Germany
740,8/28/2013,0.738603051,4,1,2,10/16/2013,9/24/2013,NA,0,7.565516746,38.18068559,0,0,0,0,England
741,10/9/2017,2.343739366,26,2,3,11/26/2017,10/17/2017,NA,0,5.168438459,39.81170991,0,0,0,1,France
742,6/1/2009,0.940383529,6,1,2,7/1/2009,7/1/2009,NA,2,6.097597141,0,1,1,0,0,Germany
743,1/22/2010,1.717826452,17,0,3,3/11/2010,2/21/2010,NA,0,9.642607544,40.32271497,0,1,0,0,England
744,9/4/2015,1.101089367,8,2,3,9/4/2015,9/4/2015,NA,2,2.734124984,27.49038084,1,0,0,0,France
745,6/13/2010,1.129217442,8,1,3,8/17/2010,6/22/2010,NA,0,0.045017627,25.38399009,0,0,0,0,Germany
746,9/29/2015,1.750508542,14,2,5,11/11/2015,11/13/2015,NA,1,1.203159835,0,0,0,0,0,England
747,2/27/2016,1.539354484,14,2,4,3/13/2016,3/8/2016,NA,1,6.960937655,0,1,0,0,0,France
748,5/21/2017,0.837875283,5,-1,4,6/20/2017,6/15/2017,NA,1,3.165157643,12.38440693,0,0,0,0,Germany
749,12/11/2015,1.265304646,9,3,3,1/31/2016,12/26/2015,NA,0,0.469402358,27.73864248,0,0,0,0,England
750,9/19/2012,0.656735428,4,2,3,11/6/2012,10/2/2012,NA,0,2.762050462,31.15469351,1,0,0,0,France
751,3/15/2015,2.015514064,32,3,4,4/27/2015,3/20/2015,NA,0,9.978317298,35.62562829,0,0,1,1,Germany
752,9/14/2011,0.895072563,8,2,4,11/1/2011,9/22/2011,NA,0,4.046987983,31.05470205,0,0,0,1,England
753,7/31/2019,0.848774765,5,-1,2,8/22/2019,8/14/2019,NA,1,4.379594817,36.67001238,0,0,0,0,France
754,3/27/2019,1.671623214,14,0,4,5/3/2019,4/21/2019,NA,1,6.949846512,33.4911665,0,0,1,0,Germany
755,8/17/2013,2.751731525,24,2,2,9/14/2013,9/3/2013,NA,1,4.127371179,0,0,0,0,0,England
756,6/24/2016,1.342686132,10,0,3,7/26/2016,7/14/2016,NA,1,5.899675799,0,0,0,0,0,France
757,10/22/2017,0.541806725,4,-1,4,12/17/2017,11/30/2017,NA,0,3.815365506,48.19444267,0,0,1,0,Germany
758,7/6/2016,2.750260809,24,3,2,8/14/2016,7/15/2016,NA,0,6.678148339,17.828157,0,0,0,0,England
759,1/30/2016,2.014116748,19,1,2,3/2/2016,1/30/2016,NA,0,6.86686099,0,1,0,0,0,France
760,4/29/2015,3.421950631,31,3,7,5/22/2015,5/13/2015,NA,1,9.034526494,7.922513985,0,0,0,0,Germany
761,9/25/2015,3.05562848,32,7,5,11/4/2015,10/13/2015,NA,0,4.181501191,13.81143309,0,1,0,0,England
762,9/3/2016,0.816449843,6,1,8,9/13/2016,9/15/2016,NA,1,0.852016263,29.41129486,0,1,0,0,France
763,10/2/2011,1.351386,10,4,2,11/18/2011,10/18/2011,NA,0,4.450169335,27.57539934,0,0,0,0,Germany
764,12/15/2015,1.475483879,11,1,2,1/29/2016,1/4/2016,NA,0,3.106080848,0,0,0,0,0,England
765,2/22/2009,2.334598604,12,3,4,3/13/2009,3/10/2009,NA,1,3.811745181,21.68994518,0,0,0,1,France
766,6/9/2019,1.915147304,16,3,3,7/7/2019,6/30/2019,NA,1,5.441832228,0,0,0,0,0,Germany
767,4/26/2014,2.980870314,30,2,5,6/7/2014,6/3/2014,NA,1,5.547054156,32.3244441,1,0,0,0,England
768,11/3/2010,1.459368156,11,1,1,12/22/2010,11/22/2010,NA,0,2.696490451,12.07862795,0,0,0,0,France
769,8/18/2016,2.106127021,18,2,4,9/13/2016,9/2/2016,NA,1,4.167606735,26.45499578,0,0,0,0,Germany
770,10/6/2009,0.891626201,11,2,2,11/17/2009,11/4/2009,NA,0,0.596499942,0,0,1,1,0,England
771,10/11/2015,1.888777979,26,4,2,12/1/2015,10/20/2015,NA,0,9.400352657,13.72304635,1,0,1,0,France
772,3/30/2014,1.201070491,9,1,4,5/21/2014,5/3/2014,NA,0,3.159983844,35.11374806,0,0,0,0,Germany
773,1/27/2016,3.026917507,19,5,4,2/12/2016,2/6/2016,NA,1,9.165239721,23.00435594,1,0,0,1,England
774,10/4/2014,2.046840634,20,2,5,11/24/2014,11/19/2014,NA,1,3.244821483,0,0,1,0,0,France
775,10/5/2018,2.341312527,30,3,3,11/28/2018,10/29/2018,NA,0,5.619171934,24.62399067,0,0,1,0,Germany
776,11/7/2014,0.799736925,4,5,5,11/26/2014,11/21/2014,NA,1,3.601901899,0,0,0,0,0,England
777,12/13/2014,3.70424277,34,5,4,1/17/2015,1/5/2015,NA,1,5.749134426,11.74759837,0,0,0,0,France
778,3/23/2017,1.410627479,11,5,3,4/29/2017,4/17/2017,NA,1,2.17938427,0,0,0,0,0,Germany
779,9/15/2011,1.096877714,7,2,8,11/2/2011,10/10/2011,NA,0,7.745110902,32.81696248,0,0,0,0,England
780,7/2/2017,1.505695545,8,2,4,7/27/2017,7/25/2017,NA,1,-0.772079593,31.18622782,1,0,0,1,France
781,12/6/2011,4.280266057,31,5,5,12/17/2011,12/19/2011,NA,1,8.454208206,0,0,1,1,1,Germany
782,3/25/2016,2.803203315,25,5,7,3/29/2016,3/26/2016,NA,1,5.625879283,0,0,0,0,0,England
783,3/26/2012,1.86033862,15,2,2,5/14/2012,4/7/2012,NA,0,5.989826968,30.43193241,0,0,0,0,France
784,9/21/2010,3.615613088,33,3,2,11/16/2010,10/15/2010,NA,0,5.187456233,0,0,0,0,0,Germany
785,4/19/2010,0.68546237,5,0,1,5/11/2010,5/4/2010,NA,1,2.317352195,0,1,1,0,0,England
786,6/22/2014,2.479120401,21,3,1,9/11/2014,7/16/2014,NA,0,3.646938274,28.37165199,0,0,0,0,France
787,6/27/2010,3.443541679,31,2,3,7/24/2010,7/18/2010,NA,1,6.610944991,23.79655197,0,0,0,0,Germany
788,7/31/2015,1.11953232,8,2,6,8/25/2015,8/18/2015,NA,1,6.504409517,24.75121855,0,0,0,0,England
789,3/15/2009,2.484177741,21,3,5,4/16/2009,4/10/2009,NA,1,4.216145265,40.01974267,0,0,0,0,France
790,11/13/2010,1.208178972,9,0,2,12/30/2010,11/27/2010,NA,0,1.990659618,0,0,0,0,0,Germany
791,8/22/2017,1.728107371,16,1,3,9/18/2017,9/20/2017,NA,1,7.217393214,0,1,0,0,0,England
792,6/29/2015,1.911658705,11,2,7,7/22/2015,7/19/2015,NA,1,4.333499362,0,1,0,0,1,France
793,12/8/2013,1.564111758,16,3,4,1/22/2014,1/3/2014,NA,0,8.888887631,37.26218029,0,0,0,1,Germany
794,3/9/2012,4.559100064,31,7,1,4/20/2012,4/18/2012,NA,1,4.089616859,26.37740776,0,1,0,1,England
795,3/17/2009,0.703383925,4,1,3,4/5/2009,3/31/2009,NA,1,7.072909403,17.66846499,0,0,0,0,France
796,6/4/2016,1.56365044,12,4,2,8/12/2016,6/30/2016,NA,0,5.654637781,33.58879216,0,0,0,0,Germany
797,2/7/2012,1.778955478,14,0,7,3/9/2012,2/28/2012,NA,1,3.124845791,0,0,0,0,0,England
798,12/6/2017,0.865210107,6,0,6,12/2/2017,12/6/2017,NA,1,2.209696758,31.27518546,0,1,0,0,France
799,6/24/2012,2.013172854,23,1,5,8/6/2012,7/15/2012,NA,0,5.730080645,23.09949795,1,1,0,0,Germany
800,11/6/2011,1.023779785,7,3,3,12/13/2011,12/2/2011,NA,1,3.200296875,13.46394884,0,0,1,0,England
801,3/10/2012,0.932101742,7,1,6,4/1/2012,3/30/2012,NA,1,2.948250345,35.71462039,1,0,0,0,France
802,6/8/2010,0.857310125,5,-1,4,7/11/2010,7/9/2010,NA,1,2.236655152,0,0,0,0,0,Germany
803,10/26/2013,2.184088829,31,3,4,1/7/2014,11/30/2013,NA,0,6.776035085,20.21273028,1,0,1,0,England
804,11/8/2016,0.683032355,8,2,2,1/15/2017,12/2/2016,NA,0,7.637852049,29.74691941,0,1,1,0,France
805,11/7/2014,1.229273201,9,0,4,12/1/2014,11/21/2014,NA,1,2.734650435,0,0,0,0,0,Germany
806,4/1/2017,1.258506672,9,1,6,5/6/2017,4/27/2017,NA,1,2.156565453,18.30393602,0,0,0,0,England
807,3/27/2013,4.784916709,44,2,2,4/13/2013,4/7/2013,NA,1,11.55953068,0,0,0,0,0,France
808,9/10/2014,1.992836073,16,0,1,10/19/2014,10/10/2014,NA,0,4.740665785,15.01534257,0,0,0,0,Germany
809,2/25/2012,1.794722736,14,0,4,3/9/2012,3/6/2012,NA,1,2.870383543,0,0,0,0,0,England
810,5/7/2011,1.59947687,12,2,5,5/30/2011,5/27/2011,NA,1,3.373606993,22.50100222,0,0,0,0,France
811,1/23/2010,1.98108157,20,1,5,3/10/2010,2/15/2010,NA,0,7.949298507,20.07837676,0,1,0,0,Germany
812,1/31/2018,2.386342286,24,2,3,3/4/2018,3/3/2018,NA,1,3.196724548,0,1,0,0,0,England
813,5/13/2015,3.897394778,41,2,5,6/14/2015,6/14/2015,NA,1,9.117269383,10.15959426,1,0,0,0,France
814,5/28/2019,0.827234888,8,1,3,7/13/2019,6/27/2019,NA,0,5.620163159,32.64965096,0,0,1,0,Germany
815,7/7/2019,1.878265468,18,3,8,8/4/2019,8/2/2019,NA,1,8.110840923,22.67792051,1,0,0,0,England
816,3/18/2012,2.945997615,26,2,1,5/16/2012,3/30/2012,NA,0,6.867601705,0,0,0,0,0,France
817,6/2/2011,4.044240747,37,5,3,8/7/2011,7/7/2011,NA,0,8.874329014,29.97272157,0,0,0,0,Germany
818,8/9/2017,1.6103496,8,2,6,8/27/2017,8/20/2017,NA,1,7.227686382,0,0,0,1,1,England
819,6/16/2010,3.213396637,29,2,4,7/11/2010,7/4/2010,NA,1,4.667853436,0,0,0,0,0,France
820,8/15/2016,1.233749879,10,0,4,10/9/2016,8/31/2016,NA,0,3.610687408,41.78404001,1,0,0,0,Germany
821,3/19/2014,2.38412165,20,1,2,4/29/2014,4/6/2014,NA,0,3.988601059,32.71472938,0,0,0,0,England
822,4/13/2017,2.353225312,12,2,3,5/1/2017,4/29/2017,NA,1,6.169995537,24.61831911,0,0,0,1,France
823,2/19/2012,1.061819558,7,5,6,3/15/2012,3/16/2012,NA,1,5.208481502,43.69712602,0,0,0,0,Germany
824,10/26/2010,2.122957167,18,2,4,11/6/2010,11/4/2010,NA,1,0.434283263,21.64856186,0,0,0,0,England
825,10/3/2014,1.647383276,16,0,4,11/16/2014,10/22/2014,NA,0,4.767388404,26.02871449,0,1,0,0,France
826,12/31/2014,2.04266512,20,0,1,1/20/2015,1/23/2015,NA,1,9.068014148,0,1,0,0,0,Germany
827,11/9/2012,0.930385413,6,2,2,12/17/2012,12/7/2012,NA,2,3.450793315,29.1780452,0,0,0,1,England
828,4/9/2011,1.7885432,20,3,2,4/30/2011,4/22/2011,NA,1,10.72317891,0,1,1,0,0,France
829,11/19/2009,1.571973338,15,2,4,1/3/2010,12/13/2009,NA,0,1.8532329,0,0,1,0,0,Germany
830,8/16/2011,1.975224057,19,2,7,9/15/2011,9/15/2011,NA,1,5.567489313,25.0306092,1,0,0,0,England
831,3/2/2010,1.503616219,12,2,4,4/4/2010,3/2/2010,NA,0,7.291114516,20.09293455,0,0,0,0,France
832,9/11/2018,5.512536062,33,3,7,10/15/2018,10/20/2018,NA,1,8.195015784,0,0,0,0,1,Germany
833,10/29/2019,2.626190563,23,1,5,11/19/2019,11/15/2019,NA,1,3.658956412,13.53135871,0,0,0,0,England
834,1/26/2019,3.133047489,29,5,4,2/6/2019,1/31/2019,NA,1,9.215262894,34.05558847,0,0,1,0,France
835,4/11/2009,0.769113045,4,-1,2,5/4/2009,4/30/2009,NA,1,2.532245885,0,0,0,0,0,Germany
836,7/26/2017,2.544490845,22,2,4,8/8/2017,8/5/2017,NA,1,11.86285691,43.35555777,0,0,0,0,England
837,5/16/2009,3.30705594,30,3,4,7/18/2009,6/23/2009,NA,0,6.93177632,28.21140178,0,0,0,0,France
838,9/14/2016,1.667058207,16,3,4,10/3/2016,10/2/2016,NA,1,5.735213743,23.45164588,1,0,1,0,Germany
839,8/2/2011,1.319188363,17,0,1,9/23/2011,9/4/2011,NA,0,4.585298898,19.79625678,1,0,1,0,England
840,2/13/2014,2.347817871,23,3,2,3/13/2014,3/7/2014,NA,1,4.99040941,47.80767792,1,0,0,0,France
841,5/11/2015,2.002906838,17,1,2,7/11/2015,5/28/2015,NA,0,6.213709088,0,0,0,0,0,Germany
842,7/5/2018,0.719584317,4,1,2,7/20/2018,7/11/2018,NA,1,6.911342882,30.67214253,0,0,0,0,England
843,12/21/2009,2.016286791,17,1,3,2/17/2010,1/12/2010,NA,0,7.018628943,25.88374928,0,0,0,0,France
844,3/20/2015,3.319121649,30,3,2,5/9/2015,4/12/2015,NA,0,9.779749238,31.48071054,0,0,0,0,Germany
845,4/9/2018,3.99995441,36,1,5,5/16/2018,5/15/2018,NA,1,3.927830017,24.71025718,0,0,0,0,England
846,9/18/2013,3.109745558,28,2,1,10/6/2013,9/27/2013,NA,2,8.755005768,19.52790483,0,0,0,0,France
847,10/19/2018,1.892019955,15,6,2,12/9/2018,11/1/2018,NA,0,3.001765165,35.1993409,0,0,0,0,Germany
848,12/14/2017,1.479531887,11,3,4,1/30/2018,1/1/2018,NA,0,4.494956415,37.21015893,0,0,0,0,England
849,5/6/2012,1.826689551,23,1,2,6/26/2012,5/13/2012,NA,0,3.150397898,20.00205658,0,0,1,0,France
850,2/17/2015,1.70524289,14,0,1,3/25/2015,3/8/2015,NA,0,5.059252932,0,0,0,0,0,Germany
851,8/4/2019,1.434412716,11,1,3,9/22/2019,8/13/2019,NA,0,6.238891888,18.68281519,0,0,0,0,England
852,12/13/2014,2.800036924,25,4,3,1/4/2015,1/7/2015,NA,1,6.249872278,41.7867233,0,0,0,0,France
853,8/23/2010,5.310430633,32,1,5,9/2/2010,8/31/2010,NA,1,8.136264792,38.01911841,0,0,0,1,Germany
854,11/8/2019,0.96484913,8,3,3,1/6/2020,11/23/2019,NA,0,-0.500751633,16.60678886,0,1,0,0,England
855,11/16/2011,2.196552924,18,2,6,12/22/2011,12/15/2011,NA,1,4.848305658,40.22085578,0,0,0,0,France
856,9/2/2010,1.824046821,27,4,2,10/10/2010,10/3/2010,NA,0,7.743464697,31.55067428,0,1,1,0,Germany
857,6/13/2011,4.087842347,37,3,2,6/26/2011,6/19/2011,NA,1,7.804650817,32.52045609,0,0,0,0,England
858,10/14/2012,1.183366898,8,1,2,11/28/2012,11/15/2012,NA,2,1.079630695,21.45021789,0,0,0,0,France
859,1/6/2013,1.628599145,20,1,2,2/6/2013,1/10/2013,NA,0,3.766921142,39.99562042,0,0,1,0,Germany
860,12/10/2010,2.800355914,30,6,4,1/1/2011,12/28/2010,NA,1,1.285342144,0,0,1,1,0,England
861,2/5/2018,1.118226662,8,2,4,4/8/2018,3/4/2018,NA,0,5.408155556,0,0,0,0,0,France
862,4/2/2016,1.121373837,8,4,3,4/23/2016,4/22/2016,NA,1,3.971071681,40.22163105,0,0,1,0,Germany
863,7/18/2015,1.868796074,15,2,4,8/5/2015,7/28/2015,NA,1,3.16559121,0,0,0,0,0,England
864,5/19/2015,2.373629707,20,1,2,7/20/2015,6/17/2015,NA,0,3.935974499,41.76021331,0,0,0,0,France
865,1/17/2009,2.920451368,29,2,6,2/21/2009,2/2/2009,NA,0,5.96166837,15.75061286,1,0,0,0,Germany
866,2/3/2016,3.351041223,19,3,4,2/9/2016,2/3/2016,NA,1,5.793139942,18.92269838,0,0,0,1,England
867,8/9/2015,0.990871314,9,3,2,9/13/2015,8/12/2015,NA,0,5.42971853,35.57158858,1,1,0,0,France
868,3/26/2016,3.022253756,27,3,5,5/4/2016,4/25/2016,NA,0,7.359607729,0,0,0,0,0,Germany
869,3/10/2016,1.140006168,4,0,3,3/29/2016,4/1/2016,NA,1,4.38473108,33.37037787,0,0,0,1,England
870,12/12/2016,0.906641535,6,2,3,2/1/2017,1/1/2017,NA,0,5.433942188,0,0,0,0,0,France
871,3/13/2015,1.31873117,15,1,2,4/27/2015,4/10/2015,NA,0,6.966542904,0,0,0,1,0,Germany
872,11/22/2018,2.265904914,19,1,3,12/21/2018,12/24/2018,NA,1,3.315293206,0,0,0,0,0,England
873,10/25/2015,0.867788017,6,2,1,11/23/2015,11/15/2015,NA,1,3.12896155,34.4986854,0,1,0,0,France
874,3/3/2019,3.012946076,30,2,3,5/5/2019,4/6/2019,NA,0,8.720155597,22.21127556,1,0,0,0,Germany
875,6/14/2016,1.701894563,24,5,7,8/12/2016,7/15/2016,NA,0,5.288136854,22.10417939,1,1,0,1,England
876,9/11/2018,0.650298644,4,2,6,11/15/2018,10/16/2018,NA,0,4.182141039,30.18542794,0,1,0,0,France
877,6/19/2013,0.772677061,4,1,1,8/11/2013,7/10/2013,NA,0,4.225310587,41.72017421,0,0,0,0,Germany
878,9/1/2014,1.802967766,15,1,1,9/27/2014,9/17/2014,NA,0,4.140016555,0,0,0,0,0,England
879,11/16/2012,1.344396738,13,2,2,1/10/2013,12/2/2012,NA,0,3.471560932,0,0,0,0,1,France
880,5/26/2017,1.591676419,19,2,1,7/26/2017,6/17/2017,NA,0,3.691922558,17.00779822,0,0,1,0,Germany
881,9/4/2014,0.852790924,5,1,3,9/28/2014,9/23/2014,NA,1,2.558641364,0,0,0,0,0,England
882,11/2/2016,1.259103804,9,3,4,12/6/2016,12/5/2016,NA,1,5.091057213,21.7549033,0,0,0,0,France
883,12/3/2017,0.894858236,5,-1,3,12/26/2017,12/27/2017,NA,1,2.783398674,0,0,0,0,0,Germany
884,5/23/2014,1.797608991,14,3,2,7/8/2014,6/5/2014,NA,0,6.162934259,32.49773673,0,0,0,0,England
885,8/22/2015,1.128707246,11,1,3,10/1/2015,9/2/2015,NA,0,7.1600584,0,1,1,0,0,France
886,2/14/2015,0.923462139,7,1,2,3/1/2015,2/24/2015,NA,1,7.609874059,53.77364219,1,0,0,0,Germany
887,2/22/2014,1.807405091,17,3,8,3/21/2014,3/15/2014,NA,1,5.295921621,0,0,1,0,0,England
888,6/3/2018,1.99549373,16,1,4,6/30/2018,7/3/2018,NA,0,6.447470331,18.89905247,0,0,0,0,France
889,11/4/2012,2.770808265,24,7,5,11/11/2012,11/9/2012,NA,1,2.104517635,7.76450758,0,0,0,0,Germany
890,1/2/2015,0.707740437,5,0,7,2/3/2015,1/26/2015,NA,1,3.445483197,25.34018185,1,0,0,0,England
891,7/25/2015,3.186929903,33,6,4,9/10/2015,9/8/2015,NA,1,6.051073621,0,0,1,0,0,France
892,1/15/2014,2.825577617,26,3,5,1/30/2014,1/17/2014,NA,1,6.750871182,0,0,0,1,0,Germany
893,6/22/2015,1.417375713,11,1,7,7/26/2015,7/27/2015,NA,1,8.397939717,31.40499162,0,0,1,0,England
894,11/26/2018,1.273602714,11,2,3,1/31/2019,12/21/2018,NA,0,5.443064291,0,1,0,0,0,France
895,6/27/2009,1.521973807,12,2,3,8/7/2009,7/10/2009,NA,0,1.710496829,0,0,0,0,0,Germany
896,9/28/2012,1.747884949,14,1,5,10/26/2012,10/9/2012,NA,1,7.035779508,0,0,0,0,0,England
897,1/12/2014,1.090104153,7,1,3,3/8/2014,1/28/2014,NA,0,4.368382212,53.77769431,0,0,0,0,France
898,7/17/2010,2.620531245,26,5,5,8/27/2010,8/4/2010,NA,0,4.346103345,18.66065712,1,0,0,0,Germany
899,3/19/2016,1.824785275,15,1,9,4/16/2016,4/11/2016,NA,1,3.39881409,0,0,0,0,0,England
900,1/8/2015,2.418376151,13,4,2,1/14/2015,1/8/2015,NA,1,0.972746192,0,0,0,0,1,France
901,5/8/2009,1.356312164,10,4,5,6/24/2009,5/19/2009,NA,0,4.818272154,27.33294958,0,0,0,0,Germany
902,5/23/2010,1.608192488,9,2,2,6/19/2010,6/18/2010,NA,1,2.795504864,0,1,0,0,1,England
903,2/23/2019,5.156777679,31,3,5,3/30/2019,3/20/2019,NA,1,8.193103227,23.53588681,0,0,0,1,France
904,9/28/2015,0.451377571,4,-1,3,11/21/2015,10/28/2015,NA,0,6.639722373,32.1367798,0,1,1,0,Germany
905,4/10/2013,2.107464455,20,3,4,5/4/2013,5/3/2013,NA,1,3.015753011,0,0,1,0,0,England
906,10/4/2016,2.872878636,25,5,6,10/27/2016,10/27/2016,NA,1,7.710412351,14.25553346,0,0,0,0,France
907,2/9/2019,3.09012237,27,3,6,3/26/2019,3/15/2019,NA,0,4.276290716,34.68497985,0,0,0,0,Germany
908,12/13/2016,3.265540808,21,4,4,12/18/2016,12/13/2016,NA,1,8.924153997,0,0,1,0,1,England
909,3/14/2014,1.186380716,8,0,3,4/14/2014,4/9/2014,NA,2,2.971191939,0,0,1,0,0,France
910,6/9/2018,4.241847583,39,3,4,7/17/2018,7/7/2018,NA,0,7.157696992,41.60465096,0,0,0,0,Germany
911,9/18/2014,2.114103471,21,2,2,11/7/2014,10/8/2014,NA,0,7.966485459,19.85577281,0,1,0,0,England
912,10/12/2010,0.727568131,4,2,3,11/7/2010,10/21/2010,NA,0,3.720450572,0,0,0,0,0,France
913,8/16/2019,2.669923909,23,4,2,10/14/2019,9/5/2019,NA,0,7.289480607,29.05372921,0,0,0,0,Germany
914,11/28/2014,1.178252614,9,2,4,1/4/2015,12/31/2014,NA,1,3.980469329,31.66849295,0,0,1,0,England
915,2/6/2014,0.756736862,10,3,4,3/24/2014,2/17/2014,NA,0,0.380604908,31.13777768,0,0,1,1,France
916,4/2/2019,4.870014387,29,4,5,4/27/2019,4/22/2019,NA,1,8.109759213,10.26298326,0,0,0,1,Germany
917,4/12/2010,1.036418081,9,5,2,5/21/2010,5/8/2010,NA,0,5.279471079,36.47786062,0,1,0,0,England
918,9/9/2015,1.940278347,16,1,3,10/5/2015,9/15/2015,NA,0,4.750102895,37.5527418,0,0,0,0,France
919,10/31/2018,0.460308519,4,0,2,12/30/2018,11/23/2018,NA,0,4.963300689,0,0,1,1,0,Germany
920,4/24/2011,0.693446585,5,4,3,5/24/2011,5/20/2011,NA,1,4.444236472,41.17674453,1,1,0,0,England
921,10/6/2015,1.140496367,13,5,6,11/3/2015,10/12/2015,NA,0,6.436351343,0,0,0,1,0,France
922,9/1/2018,1.174595426,9,1,3,9/22/2018,9/21/2018,NA,1,-0.437853166,23.47645511,0,0,1,0,Germany
923,11/25/2012,1.874866146,9,2,4,12/17/2012,12/9/2012,NA,1,3.253554504,31.37568162,0,0,0,1,England
924,12/11/2018,2.458888703,32,2,3,1/26/2019,12/24/2018,NA,0,8.902544598,23.360213,0,0,1,0,France
925,10/4/2009,1.245378922,9,2,1,11/12/2009,10/15/2009,NA,0,4.465475151,34.96860477,0,0,0,0,Germany
926,7/29/2009,1.582954545,12,2,5,9/12/2009,8/10/2009,NA,0,4.767304258,0,0,0,0,0,England
927,5/19/2018,2.232736353,19,1,3,7/1/2018,6/12/2018,NA,0,3.81521331,24.55226876,0,0,0,0,France
928,8/20/2011,1.467301839,11,2,3,9/21/2011,9/19/2011,NA,0,3.850296964,0,0,0,0,0,Germany
929,6/17/2017,0.664866469,7,4,4,7/27/2017,6/29/2017,NA,0,3.136523505,0,1,0,1,0,England
930,7/18/2015,1.05508811,12,1,4,10/1/2015,8/8/2015,NA,0,6.60571782,0,0,0,1,0,France
931,4/17/2018,2.271215556,29,3,2,6/13/2018,5/14/2018,NA,0,7.004746564,29.71543658,0,0,1,0,Germany
932,4/16/2017,1.996375879,21,1,4,6/15/2017,5/28/2017,NA,0,5.436320074,0,0,0,0,1,England
933,12/18/2014,1.153622477,10,0,8,1/30/2015,1/17/2015,NA,0,1.524758691,19.59575535,0,1,0,0,France
934,6/29/2015,2.260592067,22,0,3,8/1/2015,7/20/2015,NA,1,5.753256655,38.97620095,0,1,0,0,Germany
935,8/21/2018,1.284695609,9,1,3,9/26/2018,9/11/2018,NA,0,0.365845002,24.54191835,0,0,0,0,England
936,12/14/2011,1.762926979,14,1,3,2/23/2012,12/30/2011,NA,0,10.05079008,13.95913059,0,0,0,0,France
937,5/3/2015,4.208354443,39,1,4,5/23/2015,5/17/2015,NA,1,9.475858817,0,0,0,0,0,Germany
938,12/16/2013,2.020233849,17,3,4,1/9/2014,1/7/2014,NA,1,7.942576345,24.52637823,0,0,0,0,England
939,8/24/2016,2.088406167,20,1,3,9/14/2016,9/3/2016,NA,1,8.342577962,27.57225232,0,1,0,0,France
940,1/18/2016,1.591299295,16,3,4,2/22/2016,2/7/2016,NA,0,6.312988945,0,0,0,0,1,Germany
941,11/23/2013,0.853751085,7,3,2,1/25/2014,12/21/2013,NA,0,4.768440993,26.01715774,0,1,0,0,England
942,9/25/2013,1.633849879,22,1,2,11/7/2013,10/2/2013,NA,0,6.601700229,24.26274549,1,0,1,0,France
943,8/29/2018,3.261444802,29,3,4,9/21/2018,9/6/2018,NA,0,5.39425447,16.28566779,0,0,0,0,Germany
944,9/7/2014,2.279793869,19,3,2,11/9/2014,9/30/2014,NA,0,4.941030213,31.09152511,0,0,0,0,England
945,12/4/2019,0.712520837,5,1,3,12/24/2019,12/21/2019,NA,1,4.827204817,37.74862733,1,0,0,0,France
946,3/22/2018,1.938520731,16,2,3,4/12/2018,4/10/2018,NA,1,3.798770041,40.18527292,0,0,0,0,Germany
947,5/8/2016,2.509144318,22,2,2,6/15/2016,6/8/2016,NA,1,2.996088956,0,0,0,0,0,England
948,9/7/2019,4.438322634,41,2,2,10/21/2019,9/26/2019,NA,0,6.405611372,0,0,0,0,0,France
949,12/12/2014,2.764178697,29,4,2,1/12/2015,1/11/2015,NA,0,6.244135354,0,0,1,0,0,Germany
950,5/25/2017,2.275835194,19,2,2,7/4/2017,6/15/2017,NA,0,9.355433186,28.69275018,0,0,0,0,England
951,10/21/2018,1.941552235,22,2,1,11/15/2018,11/12/2018,NA,1,6.860698963,0,1,1,0,0,France
952,1/22/2014,3.332949319,30,2,7,3/7/2014,2/3/2014,NA,0,6.703015801,23.9874984,0,0,0,0,Germany
953,11/7/2019,0.863523328,13,2,7,12/20/2019,11/23/2019,NA,0,2.875384719,6.534395716,1,1,1,0,England
